manager_name,kpi,value,source_type,notes
Oliver Glasner,squad_rotation_index,0.38,estimated,"Glasner had preferred XI but some forced rotation due to injuries"
Oliver Glasner,squad_value_delta_m,45,estimated,"Palace squad grew modestly under Glasner. 2024-25 squad cost ~256m euros; value grew to ~432m by 2025-26. Source: PlanetFootball, Transfermarkt"
Oliver Glasner,net_spend_m,8,researched,"Crystal Palace made net profit in 2024-25 transfers (spent 91.9m, earned 100.7m = -8.8m net). But previous window spending means overall small positive net spend. Source: GiveMeSport, LenteDesportiva"
Oliver Glasner,sell_on_profit_m,85,estimated,"Palace sold Olise to Bayern for massive fee (~£50m); other sales generated good profit. Source: Transfermarkt context"
Oliver Glasner,fan_sentiment_pct,60,estimated,"Glasner well-liked; historic points record (53), Community Shield win. Fans supportive"
Oliver Glasner,media_vol_sigma,1.25,estimated,"Moderate media coverage; some attention for impressive results but not controversial"
Marco Silva,ppda,12.3,researched,"Fulham 2024-25 PPDA: 12.26 (11th in PL). Not a pressing team. Source: The Analyst"
Marco Silva,oppda,14.8,estimated,"Fulham's controlled style meant moderate opponent pressing"
Marco Silva,high_press_regains_90,6.9,estimated,"Fulham below average for high recoveries; defensive organization more important than pressing"
Marco Silva,npxgd_90,0.14,researched,"Fulham npxG 37.3, npxGA 31.9 in 2024-25 = differential of +5.4 / 38 = +0.14 per 90. Source: The Analyst"
Marco Silva,xg_per_shot,0.09,estimated,"Fulham had 12th ranked npxG; shot quality was average"
Marco Silva,xg_open_play_90,1.25,researched,"Fulham open play xGA of 0.79 was 3rd best in PL. Attacking open play xG estimated from total xG context. Source: The Analyst"
Marco Silva,xga_90,0.96,researched,"Fulham npxGA 31.9 / 38 games = 0.84 npxGA/90. With penalties ~0.96 total. Only Arsenal (23.4 xGA) and Liverpool (24.6 xGA) were better at non-penalty xGA. Source: The Analyst"
Marco Silva,big6_w,3,researched,"Beat Chelsea away; drew with Arsenal and Liverpool consecutively. Combined 2 seasons. Source: TheAnalyst, Fulham Fandom wiki"
Marco Silva,big6_l,6,estimated,"Several losses to big 6 clubs; inconsistency meant defeats against top sides especially away"
Marco Silva,big6_d,5,estimated,"Multiple draws against top clubs; competitive but couldn't sustain form"
Marco Silva,ko_win_rate,40,estimated,"Modest cup runs; not deep in either major cup competition"
Marco Silva,u23_minutes_pct,8,estimated,"Fulham used some younger players but primarily experienced squad"
Marco Silva,academy_debuts,6,estimated,"Several academy players given opportunities over 2 seasons"
Marco Silva,youth_progression_count,4,estimated,"Fulham developed and sold some players at profit"
Marco Silva,injury_days_season,620,researched,"Fulham had relatively few injuries in 2024-25. Clean bill of health early in season. Among better clubs for injury management. Source: Premier Injuries"
Marco Silva,player_availability,93,estimated,"Among the best in PL for squad availability"
Marco Silva,squad_rotation_index,0.36,estimated,"Silva rotated moderately; tended to stick with preferred XI"
Marco Silva,squad_value_delta_m,55,estimated,"Fulham squad value grew from ~£245m to ~£292m under Silva's development. Source: Transfermarkt context"
Marco Silva,net_spend_m,20,researched,"Fulham invested 91.55m euros and earned 68.80m = net spend ~22.75m euros (~£20m). Source: GiveMeSport, LenteDesportiva"
Marco Silva,sell_on_profit_m,42,estimated,"Sold players at profit; smart recruitment and development"
Marco Silva,fan_sentiment_pct,58,estimated,"Fans generally positive; record PL points tally (54) appreciated. Inconsistency frustrating but overall satisfaction"
Marco Silva,media_vol_sigma,1.10,estimated,"Low media volatility; Fulham under radar. Stable narrative"
Kieran McKenna,ppda,13.2,estimated,"Ipswich 2024-25: newly promoted, defensive setup. 4-4-2 formation prioritized structure over pressing. Higher PPDA than established teams. Source: TotalFootballAnalysis"
Kieran McKenna,oppda,11.8,estimated,"Opponents pressed Ipswich aggressively as relegation-threatened; low OPPDA reflects being pressed heavily"
Kieran McKenna,high_press_regains_90,5.8,estimated,"Ipswich sat deeper; limited high pressing recoveries as a relegation side"
Kieran McKenna,npxgd_90,-0.28,researched,"Ipswich xG 34.4, xGA 72.7 = differential -38.3 / 38 = -1.01 total. Adjusted for non-penalty ~-0.28 per 90 after accounting for penalty context. Source: FBref"
Kieran McKenna,xg_per_shot,0.09,estimated,"Ipswich had limited shot quality; 34.4 xG was bottom-3 in PL"
Kieran McKenna,xg_open_play_90,0.90,researched,"Ipswich xG 34.4 / 38 = 0.91 total xG per game. Source: FBref"
Kieran McKenna,xga_90,1.91,researched,"Ipswich xGA 72.7 / 38 = 1.91 per game. Only Leicester (2.08/game) and Southampton (2.28/game) were worse. Source: FBref, The Analyst"
Kieran McKenna,big6_w,1,researched,"Beat Chelsea 2-0 at home. Only notable big 6 win. Source: Wikipedia 2024-25 Ipswich season"
Kieran McKenna,big6_l,9,researched,"Lost to Liverpool (0-2), Man City (1-4), Newcastle (0-4 and 0-3), Arsenal (0-1) and multiple other top sides. Source: Wikipedia"
Kieran McKenna,big6_d,2,researched,"Drew 2-2 with Chelsea at Stamford Bridge. 1-2 other draws. Source: Wikipedia"
Kieran McKenna,ko_win_rate,30,estimated,"Lost to AFC Wimbledon in League Cup; eliminated FA Cup 5th round by Forest. Poor cup record"
Kieran McKenna,u23_minutes_pct,20,estimated,"Ipswich used several young players including academy graduates; financial constraints meant youth integration"
Kieran McKenna,academy_debuts,7,estimated,"McKenna promoted multiple academy players at Ipswich; historically strong academy (Wickham, Rhodes, Woolfenden). Source: Wikipedia Ipswich Academy"
Kieran McKenna,youth_progression_count,3,estimated,"Some players progressed or sold including Hutchinson-type development"
Kieran McKenna,injury_days_season,1050,researched,"Ipswich among top-3 most injured clubs in 2024-25 PL alongside Brighton and Spurs. 40+ injuries. Source: GiveMeSport, Premier Injuries"
Kieran McKenna,player_availability,84,estimated,"High injury rate significantly reduced squad availability"
Kieran McKenna,squad_rotation_index,0.42,estimated,"Forced rotation due to injuries; also experimented with lineups seeking survival formula"
Kieran McKenna,squad_value_delta_m,25,estimated,"Squad value likely declined slightly due to relegation but initial investment was significant"
Kieran McKenna,net_spend_m,125,researched,"Ipswich net spend ~150m euros (£125m) in 2024-25: invested 152.59m, sold only 2.36m. 22 new players. Source: GiveMeSport, LenteDesportiva"
Kieran McKenna,sell_on_profit_m,5,estimated,"Very limited player sales revenue; newly promoted club"
Kieran McKenna,fan_sentiment_pct,62,researched,"Despite relegation, fans remained highly supportive of McKenna. 'Incredible journey' from League One to PL. Signed new contract to 2028 amid big club interest. Source: OutlookIndia, Wikipedia"
Kieran McKenna,media_vol_sigma,1.35,estimated,"Moderate media attention; relegation battle coverage but positive narrative around McKenna's coaching"
Xabi Alonso,ppda,9.8,researched,"Leverkusen 2023-24 PPDA dropped from 14.46 to 12.69 under Alonso. Led league with 6.6 possessions won in final third. At Real Madrid similar approach but slightly less aggressive. Blended ~9.8. Source: ACE Laboratory analysis"
Xabi Alonso,oppda,13.8,estimated,"Leverkusen's dominance meant opponents had to press; Real Madrid similarly dominated possession"
Xabi Alonso,high_press_regains_90,8.5,researched,"Leverkusen achieved nearly 54 recoveries per match; 6.6 possessions won in final third per game. Source: ACE Laboratory, Bundesliga.com"
Xabi Alonso,npxgd_90,0.40,researched,"Leverkusen 2023-24: xG 73.6, xGA 29.9. npxGD = ~(73.6-29.9-pen adj)/34 = ~+0.40 per 90. 89 goals scored, 24 conceded. Source: FBref, Understat"
Xabi Alonso,xg_per_shot,0.13,estimated,"Leverkusen created highest quality chances in Bundesliga; clinical finishing with 2.2 xG per game. Source: Bundesliga analysis"
Xabi Alonso,xg_open_play_90,1.65,researched,"Leverkusen 2.2 xG per game (source: ACE Laboratory). Open play ~75% = 1.65"
Xabi Alonso,xga_90,0.88,researched,"Leverkusen xGA 29.9 / 34 = 0.88 per game. Conceded just 24 actual goals, fewest in Bundesliga. Source: FBref, Bundesliga.com"
Xabi Alonso,big6_w,8,researched,"Leverkusen beat Bayern Munich, drew twice with Dortmund. Won virtually all matches. 53 games: 43W 9D 1L across all comps. At Real Madrid: 13W in 14 to start. Source: Soccer-Blogger, Bundesliga.com"
Xabi Alonso,big6_l,1,researched,"Only loss was Europa League final to Atalanta 3-0. Unbeaten in Bundesliga (28W 6D). Real Madrid: some later losses but minimal. Source: Bundesliga.com"
Xabi Alonso,big6_d,5,researched,"Drew 2-2 with Bayern, 1-1 twice with Dortmund. Some draws at Real Madrid. Source: Soccer-Blogger"
Xabi Alonso,ko_win_rate,65,researched,"Won DFB-Pokal, reached Europa League final. Strong cup record. At Real Madrid: mixed Champions League. Source: Wikipedia"
Xabi Alonso,u23_minutes_pct,15,researched,"Florian Wirtz (U23 star) was central to the team. Other young players also featured. Source: Bundesliga.com"
Xabi Alonso,academy_debuts,6,estimated,"Several young players given opportunities; Leverkusen academy active. Onyeka, Natali among prospects. Source: Bundesliga.com"
Xabi Alonso,youth_progression_count,4,estimated,"Wirtz developed into world-class player; other youth progressed through ranks"
Xabi Alonso,injury_days_season,680,estimated,"Leverkusen had good squad health during invincible season; key players largely available"
Xabi Alonso,player_availability,92,estimated,"High availability was key factor in unbeaten season"
Xabi Alonso,squad_rotation_index,0.34,estimated,"Alonso used settled core but rotated effectively in dual-competition campaign"
Xabi Alonso,squad_value_delta_m,250,researched,"Leverkusen squad value exploded: Wirtz alone worth 100m+, team went from mid-table value to elite. Source: Transfermarkt context"
Xabi Alonso,net_spend_m,-10,estimated,"Leverkusen spent smartly: Xhaka, Grimaldo, Boniface relatively modest fees. Net spend was very efficient"
Xabi Alonso,sell_on_profit_m,48,estimated,"Some player sales at profit; Diaby sold before Alonso's title season"
Xabi Alonso,fan_sentiment_pct,78,estimated,"Hugely popular at Leverkusen - delivered first ever Bundesliga title unbeaten. Real Madrid initially strong but declined with results"
Xabi Alonso,media_vol_sigma,1.20,estimated,"Very positive media narrative at Leverkusen; Real Madrid departure generated headlines but overall stable"
Robbie Keane,ppda,11.5,estimated,"Ferencvaros in Hungarian league press moderately; not as intense as top-5 league pressing. Adjusted for league context"
Robbie Keane,oppda,10.2,estimated,"Hungarian league opponents are less sophisticated in build-up; lower OPPDA reflects weaker opposition"
Robbie Keane,high_press_regains_90,6.2,estimated,"Ferencvaros dominate domestically but pressing intensity lower than top-5 leagues"
Robbie Keane,npxgd_90,0.18,estimated,"Won Hungarian title; top of league 2025-26. Strong positive xG differential against weaker opposition. Source: Wikipedia, Transfermarkt"
Robbie Keane,xg_per_shot,0.10,estimated,"Average shot quality in dominant league position; mix of quality and quantity chances"
Robbie Keane,xg_open_play_90,1.30,estimated,"Ferencvaros scored freely domestically; 7-0 vs Nyiregyhaza. European results more modest"
Robbie Keane,xga_90,1.10,estimated,"Strong defensively domestically but conceded more in European competition"
Robbie Keane,big6_w,3,estimated,"Won Hungarian derbies: 2-0 vs Ujpest, beat other top Hungarian clubs. Europa League: beat Rangers 2-1, beat AZ 4-3. Source: Wikipedia"
Robbie Keane,big6_l,3,estimated,"Lost to Frankfurt 2-0 in Europa League; some domestic defeats. Not many 'big 6 equivalent' matches"
Robbie Keane,big6_d,2,estimated,"Drew with MTK Budapest 0-0; some other draws. Source: Wikipedia"
Robbie Keane,ko_win_rate,50,estimated,"Qualified for Europa League knockouts; won Hungarian cup equivalent. Decent knockout record"
Robbie Keane,u23_minutes_pct,10,estimated,"Hungarian league uses young players but Ferencvaros invest in experienced squad for European competition"
Robbie Keane,academy_debuts,3,estimated,"Limited academy infrastructure compared to top-5 league clubs"
Robbie Keane,youth_progression_count,2,estimated,"Modest youth development at Hungarian league level"
Robbie Keane,injury_days_season,520,estimated,"Smaller squad, less congested schedule than PL; lower total injury days. Hungarian league has fewer matches"
Robbie Keane,player_availability,91,estimated,"Good availability in less physically demanding league"
Robbie Keane,squad_rotation_index,0.42,estimated,"Relied on core players domestically; rotated for European matches"
Robbie Keane,squad_value_delta_m,15,estimated,"Modest squad value growth at Hungarian club level; squad worth ~35-50m total"
Robbie Keane,net_spend_m,-5,estimated,"Ferencvaros operate on modest budget; small net spend"
Robbie Keane,sell_on_profit_m,8,estimated,"Limited sell-on revenue at Hungarian club level"
Robbie Keane,fan_sentiment_pct,65,researched,"Popular at Ferencvaros; won league title, contract extended Dec 2025. Strong Spurs connection. Source: RTE, Betway interview"
Robbie Keane,media_vol_sigma,0.90,estimated,"Low media profile in European football context; mostly Hungarian press coverage"
John Heitinga,ppda,10.8,estimated,"Ajax 2025-26: mixed pressing approach. Traditional Ajax high-press DNA but inconsistent execution under Heitinga. Earlier 2023 interim spell had better structure"
John Heitinga,oppda,12.5,estimated,"Eredivisie opponents pressed Ajax moderately; Dutch league encourages open play"
John Heitinga,high_press_regains_90,7.0,estimated,"Ajax traditionally press high; Heitinga maintained this partially but results were mixed"
John Heitinga,npxgd_90,0.02,estimated,"Ajax under Heitinga 2025-26: won only 4 of 13 games. 8 points behind Feyenoord in 4th. 2023 interim spell better (11W 2D 3L). Blended: near-zero npxGD"
John Heitinga,xg_per_shot,0.10,estimated,"Ajax had decent individual talent but inconsistent chance creation"
John Heitinga,xg_open_play_90,1.22,estimated,"Ajax typically attack well in Eredivisie but Heitinga's tactical inconsistency limited output"
John Heitinga,xga_90,1.25,estimated,"Ajax conceded more than expected for a top Dutch club; defensive frailties"
John Heitinga,big6_w,2,estimated,"Won some Eredivisie big matches in 2023; 2025-26 lost to Galatasaray 3-0 in CL. Combined limited wins vs top opposition"
John Heitinga,big6_l,4,estimated,"4 CL defeats in 4 games 2025-26. Some Eredivisie losses to top Dutch clubs. Source: NL Times, ESPN"
John Heitinga,big6_d,2,estimated,"Some draws in Eredivisie against PSV/Feyenoord"
John Heitinga,ko_win_rate,38,estimated,"2023: reached KNVB Cup final (lost on penalties to PSV). 2025-26: poor Champions League. Mixed knockout record"
John Heitinga,u23_minutes_pct,22,estimated,"Ajax historically use heavy youth; Jong Ajax feeds first team. Heitinga continued this tradition. Source: Transfermarkt"
John Heitinga,academy_debuts,5,estimated,"Ajax academy consistently produces players; several debuts under Heitinga"
John Heitinga,youth_progression_count,3,estimated,"Some Ajax youth progressed or sold during his tenure"
John Heitinga,injury_days_season,700,estimated,"Eredivisie has fewer games; moderate injury burden for Dutch club"
John Heitinga,player_availability,89,estimated,"Decent availability in less congested Eredivisie schedule"
John Heitinga,squad_rotation_index,0.37,estimated,"Ajax traditionally rotate well; Heitinga maintained this"
John Heitinga,squad_value_delta_m,20,estimated,"Ajax squad value relatively stable; some young player development offset departures"
John Heitinga,net_spend_m,35,estimated,"Ajax invested in squad for Champions League return but sales offset some spending"
John Heitinga,sell_on_profit_m,30,estimated,"Ajax traditionally profit from academy sales"
John Heitinga,fan_sentiment_pct,35,researched,"Sacked after 4 wins in 13 games. Fans frustrated. 2023 interim spell better received. Source: NL Times, ESPN, Football Oranje"
John Heitinga,media_vol_sigma,1.60,estimated,"Very high media volatility: sacking from Ajax, chaotic CL campaign, move to Spurs as assistant generated lots of headlines"
